#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 208  2.7  4.1 99.00 99.00 99.00 999 1020.5 999.0 999.0 999.0 99.0 99.00
2019 01 01 01 00 178  4.0  4.2 99.00 99.00 99.00 999 1020.4 999.0 999.0 999.0 99.0 99.00
2019 01 01 02 00 194  3.6  4.3 99.00 99.00 99.00 999 1020.5 999.0 999.0 999.0 99.0 99.00
2019 01 01 03 00 195  4.7  5.5 99.00 99.00 99.00 999 1019.9 999.0 999.0 999.0 99.0 99.00
2019 01 01 04 00 197  5.5  6.4 99.00 99.00 99.00 999 1019.6 999.0 999.0 999.0 99.0 99.00
2019 01 01 05 00 197  7.3  9.5 99.00 99.00 99.00 999 1018.9 999.0 999.0 999.0 99.0 99.00
2019 01 01 06 00 208  7.4  9.7 99.00 99.00 99.00 999 1018.3 999.0 999.0 999.0 99.0 99.00
2019 01 01 07 00 207  6.8  8.8 99.00 99.00 99.00 999 1017.7 999.0 999.0 999.0 99.0 99.00
2019 01 01 08 00 215  5.8  7.8 99.00 99.00 99.00 999 1017.3 999.0 999.0 999.0 99.0 99.00
2019 01 01 09 00 224  4.9  6.4 99.00 99.00 99.00 999 1016.8 999.0 999.0 999.0 99.0 99.00
2019 01 01 10 00 229  5.1  7.7 99.00 99.00 99.00 999 1017.1 999.0 999.0 999.0 99.0 99.00
2019 01 01 11 00 229  6.8  8.3 99.00 99.00 99.00 999 1017.1 999.0 999.0 999.0 99.0 99.00
2019 01 01 12 00 232  6.6  9.6 99.00 99.00 99.00 999 1017.8 999.0 999.0 999.0 99.0 99.00
2019 01 01 13 00 226  6.2  8.5 99.00 99.00 99.00 999 1018.0 999.0 999.0 999.0 99.0 99.00
2019 01 01 14 00 222  7.1  8.7 99.00 99.00 99.00 999 1018.5 999.0 999.0 999.0 99.0 99.00
2019 01 01 15 00 220  8.0 10.7 99.00 99.00 99.00 999 1018.4 999.0 999.0 999.0 99.0 99.00
2019 01 01 16 00 228  7.5 10.3 99.00 99.00 99.00 999 1018.1 999.0 999.0 999.0 99.0 99.00
2019 01 01 17 00 228  7.6 10.5 99.00 99.00 99.00 999 1016.9 999.0 999.0 999.0 99.0 99.00
2019 01 01 18 00 230  7.3 10.3 99.00 99.00 99.00 999 1016.6 999.0 999.0 999.0 99.0 99.00
2019 01 01 19 00 237  5.2  7.9 99.00 99.00 99.00 999 1016.7 999.0 999.0 999.0 99.0 99.00
2019 01 01 20 00 235  4.7  6.0 99.00 99.00 99.00 999 1017.2 999.0 999.0 999.0 99.0 99.00
2019 01 01 21 00 266  4.5  5.3 99.00 99.00 99.00 999 1018.2 999.0 999.0 999.0 99.0 99.00
2019 01 01 22 00 238  4.6  5.1 99.00 99.00 99.00 999 1018.3 999.0 999.0 999.0 99.0 99.00
2019 01 01 23 00 238  3.9  4.9 99.00 99.00 99.00 999 1019.1 999.0 999.0 999.0 99.0 99.00
2019 01 02 00 00 248  3.7  4.3 99.00 99.00 99.00 999 1019.8 999.0 999.0 999.0 99.0 99.00
2019 01 02 01 00 259  3.4  3.9 99.00 99.00 99.00 999 1020.1 999.0 999.0 999.0 99.0 99.00
2019 01 02 02 00  39  0.6  0.8 99.00 99.00 99.00 999 1020.4 999.0 999.0 999.0 99.0 99.00
2019 01 02 03 00  25  4.7  5.4 99.00 99.00 99.00 999 1020.8 999.0 999.0 999.0 99.0 99.00
2019 01 02 04 00  20  3.8  4.3 99.00 99.00 99.00 999 1021.2 999.0 999.0 999.0 99.0 99.00
2019 01 02 05 00  13  4.0  5.0 99.00 99.00 99.00 999 1020.9 999.0 999.0 999.0 99.0 99.00
2019 01 02 06 00  42 10.0 11.1 99.00 99.00 99.00 999 1021.4 999.0 999.0 999.0 99.0 99.00
2019 01 02 07 00  37  9.8 10.3 99.00 99.00 99.00 999 1021.9 999.0 999.0 999.0 99.0 99.00
2019 01 02 08 00  46  9.1  9.9 99.00 99.00 99.00 999 1021.9 999.0 999.0 999.0 99.0 99.00
2019 01 02 09 00  30  8.0  8.9 99.00 99.00 99.00 999 1021.1 999.0 999.0 999.0 99.0 99.00
2019 01 02 10 00  44  7.2  7.7 99.00 99.00 99.00 999 1021.6 999.0 999.0 999.0 99.0 99.00
2019 01 02 11 00  17  6.6  8.2 99.00 99.00 99.00 999 1021.9 999.0 999.0 999.0 99.0 99.00
2019 01 02 12 00  20  8.6  9.7 99.00 99.00 99.00 999 1022.8 999.0 999.0 999.0 99.0 99.00
2019 01 02 21 00  34  8.3  9.4 99.00 99.00 99.00 999 1021.1 999.0 999.0 999.0 99.0 99.00
2019 01 02 22 00  20  5.7  6.9 99.00 99.00 99.00 999 1021.4 999.0 999.0 999.0 99.0 99.00
2019 01 02 23 00  12  5.1  6.1 99.00 99.00 99.00 999 1021.2 999.0 999.0 999.0 99.0 99.00
2019 01 03 00 00  31  7.6  8.3 99.00 99.00 99.00 999 1020.8 999.0 999.0 999.0 99.0 99.00
2019 01 03 01 00  23  5.4  6.4 99.00 99.00 99.00 999 1020.6 999.0 999.0 999.0 99.0 99.00
2019 01 03 02 00  11  3.2  4.1 99.00 99.00 99.00 999 1020.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 03 00   5  2.4  2.8 99.00 99.00 99.00 999 1019.3 999.0 999.0 999.0 99.0 99.00
2019 01 03 04 00 359  2.0  2.1 99.00 99.00 99.00 999 1018.5 999.0 999.0 999.0 99.0 99.00
2019 01 03 05 00 351  1.1  1.3 99.00 99.00 99.00 999 1017.8 999.0 999.0 999.0 99.0 99.00
2019 01 03 06 00 319  2.4  2.9 99.00 99.00 99.00 999 1017.6 999.0 999.0 999.0 99.0 99.00
2019 01 03 07 00 308  2.9  3.9 99.00 99.00 99.00 999 1017.1 999.0 999.0 999.0 99.0 99.00
2019 01 03 08 00 318  1.6  2.2 99.00 99.00 99.00 999 1017.1 999.0 999.0 999.0 99.0 99.00
2019 01 03 09 00 190  0.1  0.3 99.00 99.00 99.00 999 1016.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 10 00 299  2.4  2.8 99.00 99.00 99.00 999 1015.9 999.0 999.0 999.0 99.0 99.00
2019 01 03 11 00 293  2.3  2.7 99.00 99.00 99.00 999 1016.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 12 00 336  3.7  4.2 99.00 99.00 99.00 999 1016.9 999.0 999.0 999.0 99.0 99.00
2019 01 03 13 00 307  1.3  1.7 99.00 99.00 99.00 999 1017.3 999.0 999.0 999.0 99.0 99.00
2019 01 03 14 00 327  0.6  0.8 99.00 99.00 99.00 999 1017.7 999.0 999.0 999.0 99.0 99.00
2019 01 03 15 00 350  2.5  3.2 99.00 99.00 99.00 999 1018.1 999.0 999.0 999.0 99.0 99.00
2019 01 03 16 00 256  2.2  2.7 99.00 99.00 99.00 999 1016.8 999.0 999.0 999.0 99.0 99.00
2019 01 03 17 00 289  2.9  3.8 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
2019 01 03 18 00 261  3.9  4.6 99.00 99.00 99.00 999 1015.8 999.0 999.0 999.0 99.0 99.00
2019 01 03 19 00 263  3.8  4.3 99.00 99.00 99.00 999 1015.6 999.0 999.0 999.0 99.0 99.00
2019 01 03 20 00 301  3.0  3.7 99.00 99.00 99.00 999 1016.1 999.0 999.0 999.0 99.0 99.00
2019 01 03 21 00 307  2.0  2.4 99.00 99.00 99.00 999 1016.6 999.0 999.0 999.0 99.0 99.00
2019 01 03 22 00   2  2.7  3.6 99.00 99.00 99.00 999 1016.9 999.0 999.0 999.0 99.0 99.00
2019 01 03 23 00  28  3.6  4.2 99.00 99.00 99.00 999 1017.0 999.0 999.0 999.0 99.0 99.00
2019 01 04 00 00  53  3.1  3.6 99.00 99.00 99.00 999 1017.0 999.0 999.0 999.0 99.0 99.00
2019 01 04 01 00  36  3.7  4.2 99.00 99.00 99.00 999 1017.7 999.0 999.0 999.0 99.0 99.00
2019 01 04 02 00  36  4.9  5.3 99.00 99.00 99.00 999 1017.5 999.0 999.0 999.0 99.0 99.00
