#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 999 99.0 99.0  0.60 16.00 99.00  89 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 02 18 00 999 99.0 99.0  1.20  5.48 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 02 19 00 999 99.0 99.0  1.17  5.48 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 02 20 00 999 99.0 99.0  1.16  5.26 99.00 101 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 02 21 00 999 99.0 99.0  0.82  5.06 99.00  80 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 02 22 00 999 99.0 99.0  0.84  4.71 99.00  98 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 02 23 00 999 99.0 99.0  0.75  5.48 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 00 00 999 99.0 99.0  0.70  5.06 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 01 00 999 99.0 99.0  0.64  5.48 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 04 00 999 99.0 99.0  0.61  5.26 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 06 00 999 99.0 99.0  0.68  5.26 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 07 00 999 99.0 99.0  0.71  5.48 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 08 00 999 99.0 99.0  0.61  5.48 99.00 102 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 09 00 999 99.0 99.0  0.69  5.71 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 10 00 999 99.0 99.0  0.70  5.26 99.00 101 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 11 00 999 99.0 99.0  0.71  5.48 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 12 00 999 99.0 99.0  0.74  7.27 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 13 00 999 99.0 99.0  0.69  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 14 00 999 99.0 99.0  0.64  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 03 15 00 999 99.0 99.0  0.60  6.56 99.00  97 9999.0 999.0 999.0 999.0 99.0 99.00
