Date Time, Water Level, Sigma, I, L 
2012-01-01 00:00,-0.488,0.019,0,0
2012-01-01 01:00,-0.404,0.019,0,0
2012-01-01 02:00,-0.265,0.023,0,0
2012-01-01 03:00,-0.026,0.018,0,0
2012-01-01 04:00,0.209,0.017,0,0
2012-01-01 05:00,0.309,0.017,0,0
2012-01-01 06:00,0.334,0.017,0,0
2012-01-01 07:00,0.296,0.020,0,0
2012-01-01 08:00,0.196,0.017,0,0
2012-01-01 09:00,0.040,0.020,0,0
2012-01-01 10:00,-0.133,0.019,0,0
2012-01-01 11:00,-0.272,0.020,0,0
2012-01-01 12:00,-0.299,0.016,0,0
2012-01-01 13:00,-0.215,0.019,0,0
2012-01-01 14:00,-0.106,0.016,0,0
2012-01-01 15:00,0.041,0.015,0,0
2012-01-01 16:00,0.171,0.019,0,0
2012-01-01 17:00,0.280,0.019,0,0
2012-01-01 18:00,0.274,0.018,0,0
2012-01-01 19:00,0.284,0.015,0,0
2012-01-01 20:00,0.141,0.017,0,0
2012-01-01 21:00,0.013,0.019,0,0
2012-01-01 22:00,-0.159,0.017,0,0
2012-01-01 23:00,-0.339,0.016,0,0
2012-01-02 00:00,-0.460,0.015,0,0
2012-01-02 01:00,-0.428,0.014,0,0
2012-01-02 02:00,-0.287,0.014,0,0
2012-01-02 03:00,-0.129,0.013,0,0
2012-01-02 04:00,0.004,0.016,0,0
2012-01-02 05:00,0.166,0.016,0,0
2012-01-02 06:00,0.260,0.016,0,0
2012-01-02 07:00,0.315,0.017,0,0
2012-01-02 08:00,0.292,0.016,0,0
2012-01-02 09:00,0.131,0.017,0,0
2012-01-02 10:00,-0.065,0.015,0,0
2012-01-02 11:00,-0.251,0.018,0,0
2012-01-02 12:00,-0.348,0.018,0,0
2012-01-02 13:00,-0.320,0.015,0,0
2012-01-02 14:00,-0.232,0.015,0,0
2012-01-02 15:00,-0.047,0.014,0,0
2012-01-02 16:00,-0.012,0.012,0,0
2012-01-02 17:00,0.137,0.014,0,0
2012-01-02 18:00,0.286,0.014,0,0
2012-01-02 19:00,0.314,0.018,0,0
