Date Time, Water Level, Sigma, I, L 
2001-01-01 00:00,-0.761,0.037,0,0
2001-01-01 01:00,-0.651,0.034,0,0
2001-01-01 02:00,-0.494,0.030,0,0
2001-01-01 03:00,-0.312,0.036,0,0
2001-01-01 04:00,-0.237,0.031,0,0
2001-01-01 05:00,-0.238,0.028,0,0
2001-01-01 06:00,-0.308,0.030,0,0
2001-01-01 07:00,-0.427,0.030,0,0
2001-01-01 08:00,-0.533,0.034,0,0
2001-01-01 09:00,-0.706,0.033,0,0
2001-01-01 10:00,-0.826,0.039,0,0
2001-01-01 11:00,-0.810,0.040,0,0
2001-01-01 12:00,-0.719,0.035,0,0
2001-01-01 13:00,-0.563,0.038,0,0
2001-01-01 14:00,-0.419,0.036,0,0
2001-01-01 15:00,-0.183,0.039,0,0
2001-01-01 16:00,-0.078,0.048,0,0
2001-01-01 17:00,-0.078,0.046,0,0
2001-01-01 18:00,-0.203,0.041,0,0
2001-01-01 19:00,-0.326,0.041,0,0
2001-01-01 20:00,-0.487,0.043,0,0
2001-01-01 21:00,-0.710,0.042,0,0
2001-01-01 22:00,-0.858,0.043,0,0
2001-01-01 23:00,-0.957,0.043,0,0
2001-01-02 00:00,-0.870,0.053,0,0
2001-01-02 01:00,-0.730,0.048,0,0
2001-01-02 02:00,-0.587,0.045,0,0
2001-01-02 03:00,-0.374,0.049,0,0
2001-01-02 04:00,-0.206,0.044,0,0
2001-01-02 05:00,-0.103,0.046,0,0
2001-01-02 06:00,-0.144,0.044,0,0
2001-01-02 07:00,-0.222,0.048,0,0
2001-01-02 08:00,-0.313,0.048,0,0
2001-01-02 09:00,-0.457,0.046,0,0
2001-01-02 10:00,-0.601,0.052,0,0
2001-01-02 11:00,-0.643,0.056,0,0
2001-01-02 12:00,-0.600,0.068,0,0
2001-01-02 13:00,-0.484,0.072,0,0
2001-01-02 14:00,-0.350,0.076,0,0
2001-01-02 15:00,-0.172,0.082,0,0
2001-01-02 16:00,0.020,0.092,0,0
2001-01-02 17:00,0.094,0.086,0,0
2001-01-02 18:00,0.078,0.109,0,0
2001-01-02 19:00,0.003,0.099,0,0
2001-01-02 20:00,-0.134,0.110,0,0
2001-01-02 21:00,-0.306,0.102,0,0
2001-01-02 22:00,-0.500,0.094,0,0
2001-01-02 23:00,-0.616,0.094,0,0
2001-01-03 00:00,-0.658,0.093,0,0
2001-01-03 01:00,-0.561,0.105,0,0
2001-01-03 02:00,-0.438,0.094,0,0
2001-01-03 03:00,-0.223,0.086,0,0
2001-01-03 04:00,0.003,0.094,0,0
2001-01-03 05:00,0.148,0.119,0,0
2001-01-03 06:00,0.214,0.094,0,0
2001-01-03 07:00,0.184,0.113,0,0
2001-01-03 08:00,0.124,0.108,0,0
2001-01-03 09:00,-0.037,0.155,0,0
2001-01-03 10:00,-0.214,0.125,0,0
2001-01-03 11:00,-0.376,0.114,0,0
2001-01-03 12:00,-0.433,0.115,0,0
2001-01-03 13:00,-0.409,0.118,0,0
2001-01-03 14:00,-0.381,0.116,0,0
2001-01-03 15:00,-0.224,0.092,0,0
2001-01-03 16:00,-0.076,0.109,0,0
2001-01-03 17:00,0.063,0.112,0,0
2001-01-03 18:00,0.122,0.095,0,0
2001-01-03 19:00,0.132,0.092,0,0
2001-01-03 20:00,0.053,0.099,0,0
2001-01-03 21:00,-0.104,0.085,0,0
2001-01-03 22:00,-0.281,0.098,0,0
2001-01-03 23:00,-0.500,0.088,0,0
2001-01-04 00:00,-0.601,0.070,0,0
2001-01-04 01:00,-0.604,0.074,0,0
2001-01-04 02:00,-0.534,0.075,0,0
2001-01-04 03:00,-0.353,0.071,0,0
2001-01-04 04:00,-0.189,0.069,0,0
2001-01-04 05:00,0.028,0.062,0,0
2001-01-04 06:00,0.167,0.058,0,0
2001-01-04 07:00,0.173,0.053,0,0
2001-01-04 08:00,0.159,0.067,0,0
2001-01-04 09:00,0.029,0.078,0,0
2001-01-04 10:00,-0.178,0.073,0,0
2001-01-04 11:00,-0.341,0.073,0,0
2001-01-04 12:00,-0.496,0.053,0,0
