"Date","Time (LST)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/09/05","00:00","0.533","-","0.733"
"2019/09/05","01:00","0.461","-","0.692"
"2019/09/05","02:00","0.273","-","0.515"
"2019/09/05","03:00","0.053","-","0.285"
"2019/09/05","04:00","-0.153","-","0.089"
"2019/09/05","05:00","-0.327","-","-0.087"
"2019/09/05","06:00","-0.422","-","-0.172"
"2019/09/05","07:00","-0.398","-","-0.173"
"2019/09/05","08:00","-0.253","-","-0.004"
"2019/09/05","09:00","-0.017","-","0.18"
"2019/09/05","10:00","0.252","-","0.499"
"2019/09/05","11:00","0.495","-","0.761"
"2019/09/05","12:00","0.656","-","0.888"
"2019/09/05","13:00","0.682","-","0.888"
"2019/09/05","14:00","0.565","-","0.765"
"2019/09/05","15:00","0.372","-","0.705"
"2019/09/05","16:00","0.163","-","0.554"
"2019/09/05","17:00","-0.046","-","0.416"
"2019/09/05","18:00","-0.223","-","0.235"
"2019/09/05","19:00","-0.307","-","0.116"
"2019/09/05","20:00","-0.275","-","0.184"
"2019/09/05","21:00","-0.138","-","0.306"
"2019/09/05","22:00","0.062","-","0.517"
"2019/09/05","23:00","0.264","-","0.708"
"2019/09/06","00:00","0.416","-","0.839"
"2019/09/06","01:00","0.468","-","0.9"
"2019/09/06","02:00","0.389","-","0.971"
"2019/09/06","03:00","0.224","-","0.841"
"2019/09/06","04:00","0.041","-","0.335"
"2019/09/06","05:00","-0.138","-","-0.166"
"2019/09/06","06:00","-0.297","-","-0.32"
"2019/09/06","07:00","-0.385","-","-0.446"
"2019/09/06","08:00","-0.358","-","-0.471"
"2019/09/06","09:00","-0.217","-","-0.149"
"2019/09/06","10:00","0.009","-","-0.022"
"2019/09/06","11:00","0.263","-","0.159"
"2019/09/06","12:00","0.486","-","0.346"
"2019/09/06","13:00","0.626","-","0.472"
"2019/09/06","14:00","0.641","-","0.624"
"2019/09/06","15:00","0.537","-","0.524"
"2019/09/06","16:00","0.373","-","0.346"
"2019/09/06","17:00","0.187","-","0.142"
"2019/09/06","18:00","-0.016","-","-0.004"
"2019/09/06","19:00","-0.191","-","-0.169"
"2019/09/06","20:00","-0.276","-","-0.18"
"2019/09/06","21:00","-0.249","-","-0.128"
