# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-07-18 13:31:10 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02106500 BLACK RIVER NEAR TOMAHAWK, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02106500
#            TS   parameter     Description
#         89695       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	89695_00060	89695_00060_cd
5s	15s	20d	6s	14n	10s
USGS	02106500	2017-12-30 00:00	EST	377	A
USGS	02106500	2017-12-30 00:15	EST	376	A
USGS	02106500	2017-12-30 00:30	EST	376	A
USGS	02106500	2017-12-30 00:45	EST	376	A
USGS	02106500	2017-12-30 01:00	EST	376	A
USGS	02106500	2017-12-30 01:15	EST	376	A
USGS	02106500	2017-12-30 01:30	EST	374	A
USGS	02106500	2017-12-30 01:45	EST	374	A
USGS	02106500	2017-12-30 02:00	EST	374	A
USGS	02106500	2017-12-30 02:15	EST	374	A
USGS	02106500	2017-12-30 02:30	EST	374	A
USGS	02106500	2017-12-30 02:45	EST	373	A
USGS	02106500	2017-12-30 03:00	EST	373	A
USGS	02106500	2017-12-30 03:15	EST	373	A
USGS	02106500	2017-12-30 03:30	EST	373	A
USGS	02106500	2017-12-30 03:45	EST	373	A
USGS	02106500	2017-12-30 04:00	EST	373	A
USGS	02106500	2017-12-30 04:15	EST	371	A
USGS	02106500	2017-12-30 04:30	EST	371	A
USGS	02106500	2017-12-30 04:45	EST	371	A
USGS	02106500	2017-12-30 05:00	EST	371	A
USGS	02106500	2017-12-30 05:15	EST	370	A
USGS	02106500	2017-12-30 05:30	EST	370	A
USGS	02106500	2017-12-30 05:45	EST	370	A
USGS	02106500	2017-12-30 06:00	EST	370	A
USGS	02106500	2017-12-30 06:15	EST	370	A
USGS	02106500	2017-12-30 06:30	EST	370	A
USGS	02106500	2017-12-30 06:45	EST	368	A
USGS	02106500	2017-12-30 07:00	EST	368	A
USGS	02106500	2017-12-30 07:15	EST	368	A
USGS	02106500	2017-12-30 07:30	EST	368	A
USGS	02106500	2017-12-30 07:45	EST	368	A
USGS	02106500	2017-12-30 08:00	EST	367	A
USGS	02106500	2017-12-30 08:15	EST	367	A
USGS	02106500	2017-12-30 08:30	EST	367	A
USGS	02106500	2017-12-30 08:45	EST	367	A
USGS	02106500	2017-12-30 09:00	EST	365	A
USGS	02106500	2017-12-30 09:15	EST	367	A
USGS	02106500	2017-12-30 09:30	EST	365	A
USGS	02106500	2017-12-30 09:45	EST	365	A
USGS	02106500	2017-12-30 10:00	EST	365	A
USGS	02106500	2017-12-30 10:15	EST	365	A
USGS	02106500	2017-12-30 10:30	EST	365	A
USGS	02106500	2017-12-30 10:45	EST	364	A
USGS	02106500	2017-12-30 11:00	EST	364	A
USGS	02106500	2017-12-30 11:15	EST	364	A
USGS	02106500	2017-12-30 11:30	EST	364	A
USGS	02106500	2017-12-30 11:45	EST	363	A
USGS	02106500	2017-12-30 12:00	EST	364	A
USGS	02106500	2017-12-30 12:15	EST	364	A
USGS	02106500	2017-12-30 12:30	EST	364	A
USGS	02106500	2017-12-30 12:45	EST	363	A
USGS	02106500	2017-12-30 13:00	EST	361	A
USGS	02106500	2017-12-30 13:15	EST	363	A
USGS	02106500	2017-12-30 13:30	EST	361	A
USGS	02106500	2017-12-30 13:45	EST	361	A
USGS	02106500	2017-12-30 14:00	EST	361	A
USGS	02106500	2017-12-30 14:15	EST	361	A
USGS	02106500	2017-12-30 14:30	EST	361	A
USGS	02106500	2017-12-30 14:45	EST	361	A
USGS	02106500	2017-12-30 15:00	EST	361	A
USGS	02106500	2017-12-30 15:15	EST	361	A
USGS	02106500	2017-12-30 15:30	EST	360	A
USGS	02106500	2017-12-30 15:45	EST	360	A
USGS	02106500	2017-12-30 16:00	EST	360	A
USGS	02106500	2017-12-30 16:15	EST	360	A
USGS	02106500	2017-12-30 16:30	EST	360	A
USGS	02106500	2017-12-30 16:45	EST	358	A
USGS	02106500	2017-12-30 17:00	EST	360	A
USGS	02106500	2017-12-30 17:15	EST	358	A
USGS	02106500	2017-12-30 17:30	EST	358	A
USGS	02106500	2017-12-30 17:45	EST	358	A
USGS	02106500	2017-12-30 18:00	EST	358	A
USGS	02106500	2017-12-30 18:15	EST	357	A
USGS	02106500	2017-12-30 18:30	EST	358	A
USGS	02106500	2017-12-30 18:45	EST	357	A
USGS	02106500	2017-12-30 19:00	EST	357	A
USGS	02106500	2017-12-30 19:15	EST	357	A
USGS	02106500	2017-12-30 19:30	EST	357	A
USGS	02106500	2017-12-30 19:45	EST	357	A
USGS	02106500	2017-12-30 20:00	EST	357	A
USGS	02106500	2017-12-30 20:15	EST	357	A
USGS	02106500	2017-12-30 20:30	EST	357	A
USGS	02106500	2017-12-30 20:45	EST	357	A
USGS	02106500	2017-12-30 21:00	EST	355	A
USGS	02106500	2017-12-30 21:15	EST	355	A
USGS	02106500	2017-12-30 21:30	EST	355	A
USGS	02106500	2017-12-30 21:45	EST	355	A
USGS	02106500	2017-12-30 22:00	EST	355	A
USGS	02106500	2017-12-30 22:15	EST	355	A
USGS	02106500	2017-12-30 22:30	EST	355	A
USGS	02106500	2017-12-30 22:45	EST	355	A
USGS	02106500	2017-12-30 23:00	EST	355	A
USGS	02106500	2017-12-30 23:15	EST	355	A
USGS	02106500	2017-12-30 23:30	EST	355	A
USGS	02106500	2017-12-30 23:45	EST	355	A
USGS	02106500	2017-12-31 00:00	EST	354	A
USGS	02106500	2017-12-31 00:15	EST	354	A
USGS	02106500	2017-12-31 00:30	EST	354	A
USGS	02106500	2017-12-31 00:45	EST	354	A
USGS	02106500	2017-12-31 01:00	EST	354	A
USGS	02106500	2017-12-31 01:15	EST	354	A
USGS	02106500	2017-12-31 01:30	EST	354	A
USGS	02106500	2017-12-31 01:45	EST	352	A
USGS	02106500	2017-12-31 02:00	EST	352	A
USGS	02106500	2017-12-31 02:15	EST	352	A
USGS	02106500	2017-12-31 02:30	EST	352	A
USGS	02106500	2017-12-31 02:45	EST	352	A
USGS	02106500	2017-12-31 03:00	EST	352	A
USGS	02106500	2017-12-31 03:15	EST	352	A
USGS	02106500	2017-12-31 03:30	EST	351	A
USGS	02106500	2017-12-31 03:45	EST	351	A
USGS	02106500	2017-12-31 04:00	EST	351	A
USGS	02106500	2017-12-31 04:15	EST	351	A
USGS	02106500	2017-12-31 04:30	EST	351	A
USGS	02106500	2017-12-31 04:45	EST	351	A
USGS	02106500	2017-12-31 05:00	EST	351	A
USGS	02106500	2017-12-31 05:15	EST	350	A
USGS	02106500	2017-12-31 05:30	EST	351	A
USGS	02106500	2017-12-31 05:45	EST	350	A
USGS	02106500	2017-12-31 06:00	EST	350	A
USGS	02106500	2017-12-31 06:15	EST	350	A
USGS	02106500	2017-12-31 06:30	EST	348	A
USGS	02106500	2017-12-31 06:45	EST	348	A
USGS	02106500	2017-12-31 07:00	EST	348	A
USGS	02106500	2017-12-31 07:15	EST	348	A
USGS	02106500	2017-12-31 07:30	EST	348	A
USGS	02106500	2017-12-31 07:45	EST	347	A
USGS	02106500	2017-12-31 08:00	EST	347	A
USGS	02106500	2017-12-31 08:15	EST	347	A
USGS	02106500	2017-12-31 08:30	EST	347	A
USGS	02106500	2017-12-31 08:45	EST	345	A
USGS	02106500	2017-12-31 09:00	EST	345	A
USGS	02106500	2017-12-31 09:15	EST	345	A
USGS	02106500	2017-12-31 09:30	EST	345	A
USGS	02106500	2017-12-31 09:45	EST	345	A
